Station name,Metro line name,Station type,lat,lng
Abu Dhabi square,Green line,Deep Underground,24.70611607029804,46.71634234922706
Ad Dar Al Baida,Blue line,Elevated,24.55958910448547,46.77654712393894
Ad Dhabab,Green line,Deep Underground,24.70915859869369,46.70835711021662
Ad Douh,Orange line,Elevated,24.58293167966869,46.58806971836369
Airport T1-2,Yellow line,Elevated,24.96281541599763,46.70002847728534
Airport T3-4,Yellow line,Elevated,24.95629864361232,46.70322082727486
Airport T5,Yellow line,Elevated,24.94295453599951,46.70826370485601
Aishah bint Abi Bakr Street,Orange line,Elevated,24.60052873723215,46.64374907224175
Al Andalus,Purple line,Elevated,24.75674689952316,46.79050988521736
Al Aziziah,Blue line,Elevated,24.58613720640573,46.76119639347265
Al Bat'ha,Blue line,Deep Underground,24.63793144884599,46.71523382845812
Al Hamra,Purple line | Red line,Elevated,24.77642102227688,46.77675786070972
Al Hilla,Orange line,Deep Underground,24.63174974583536,46.72092052341459
Al Iman Hospital,Blue line,Elevated,24.60100804986984,46.7352437098454
Al Jarradiyah,Orange line,Elevated,24.61845741064425,46.69821822387604
Al Khaleej,Red line,Shallow Underground,24.78145044800828,46.79447110643801
Al Malaz,Orange line,Deep Underground,24.66109427633321,46.74505406619882
Al Margab,Orange line,Deep Underground,24.63402768715887,46.72544371164624
Al Muorabba,Blue line,Deep Underground,24.66485076093648,46.70244592563306
Al Murooj,Blue line,Deep Underground,24.75474607607529,46.65422135694412
Al Owd,Blue line,Deep Underground,24.62531899374494,46.72101788739987
Al Rajhi Grand Mosque,Orange line,Elevated,24.67971156503735,46.77849737862974
Al Urubah,Blue line,Deep Underground,24.71321629407025,46.67536633589778
Al Wizarat,Green line,Deep Underground,24.67721661325981,46.71835817336265
Al Wurud,Red line,Deep Underground,24.73304010012863,46.67749338636222
Al Wurud 2,Blue line,Deep Underground,24.72172740595173,46.67112888545265
Al Yarmuk,Purple line,Elevated,24.79102722793817,46.76642231187255
Alinma Bank,Blue line,Deep Underground,24.70316648220116,46.68032471057251
An Naseem,Orange line | Purple line,Shallow Underground,24.70026793259499,46.82781400965195
An Nuzhah,Red line,At Grade,24.74782156645681,46.71311355644504
Ar Rabi,Purple line | Yellow line,Elevated,24.78629157966825,46.66057921262878
As Salam,Purple line,Elevated,24.72219711748086,46.8114455888186
As Salhiyah,Orange line,Deep Underground,24.63722864945175,46.73192914145916
As Sulimaniyah,Green line,Deep Underground,24.7130431910079,46.69954390840239
At Takhassussi,Red line,Shallow Underground,24.72340744244227,46.65464898678899
Bank Albilad,Blue line,Deep Underground,24.69650761170015,46.68392634195393
Courts Complex,Orange line,Deep Underground,24.62696585808965,46.71242068810995
Dhahrat Al Badiah,Orange line,Elevated,24.6073754409049,46.65497375326466
Dr Sulaiman Al Habib,Blue line,Elevated,24.81155379383345,46.62654386725997
First Industrial City,Orange line,Deep Underground,24.64518207915902,46.73949283534146
GOSI,Green line,Deep Underground,24.686692275556,46.71819918138066
Granadia,Purple line,Elevated,24.78648327857564,46.72933303753641
Harun Ar Rashid Road,Orange line,Shallow Underground,24.68608501392891,46.79601710504106
Hassan Bin Thabit street,Orange line,Shallow Underground,24.71315305285557,46.84810909256966
Ishbiliyah,Red line,At Grade,24.79216004055396,46.81106855810685
Jarir District,Orange line,Elevated,24.67297035932004,46.76052059417431
Jeddah Road,Orange line,Elevated,24.59121360322294,46.54339421952785
KACST,Red line,Shallow Underground,24.72017061216426,46.64693246597055
KAFD,Blue line | Purple line | Yellow line,Elevated,24.76800392512061,46.64364447641301
