Neighborhood,Fiber_Available,FWA_Available,Mobile_Available
Al Amal Dist.,0,1,1
Al Namudhajiyah Dist.,0,1,1
Al Jarradiyah Dist.,1,1,1
Al Sinaiyah Dist.,0,1,1
Manfuha Al Jadidah Dist.,0,1,1
Al Fakhiriyah Dist.,0,1,1
Al Dirah Dist.,0,1,1
East Umm Al Hamam Dist.,0,1,1
Al Sharafiyah Dist.,0,1,1
Al Hada Dist.,0,1,1
North Mathar Dist.,0,1,1
West Umm Al Hamam Dist.,1,1,1
Ar Rahmaniyah Dist.,0,1,1
Laban Dist.,0,1,1
Ar Rafiah Dist.,0,1,1
Al Shohda Dist.,0,1,1
King Fahd Dist.,1,1,1
Al Suwaidi Dist.,0,1,1
Al Hazm Dist.,0,1,1
Utayqah Dist.,0,1,1
Al Murabba Dist.,0,1,1
Al Falah Dist.,0,1,1
Al Nada Dist.,1,1,1
Al Mursalat Dist.,0,1,1
Al Nuzha Dist.,0,1,1
Al Woroud Dist.,1,1,1
King Faisal Dist.,1,1,1
2nd Industrial City,0,1,1
Al Aziziyah Dist.,1,1,1
Al Mansurah Dist.,1,1,1
Ghobairah Dist.,0,1,1
Al Farooq Dist.,0,1,1
Al Faisaliyah Dist.,0,1,1
Al Khalidiyah Dist.,0,1,1
Al Jazeerah Dist.,0,1,1
Al Saadah Dist.,1,1,1
Al Nasiriyah Dist.,0,1,1
Al Manakh Dist.,0,1,1
Al Difaa Dist.,0,1,1
Al Noor Dist.,0,1,1
King Abdullah Dist.,0,1,1
Al Wahah Dist.,0,1,1
Salahuddin Dist.,0,1,1
King Abdulaziz Dist.,0,1,1
Al Wizarat Dist.,1,1,1
Skirinah Dist.,0,1,1
Ar Rabwah Dist.,1,1,1
Jareer Dist.,0,1,1
Al Mathar Dist.,0,1,1
As Salhiyah Dist.,0,1,1
Al Malaz Dist.,0,1,1
Manfuhah Dist.,0,1,1
Olaishah Dist.,0,1,1
Al Nahdah Dist.,0,1,1
Al Khaleej Dist.,0,1,1
Al Dhubbat Dist.,1,1,1
West Suwaidi Dist.,0,1,1
Dirab Dist.,0,1,1
Ohod Dist.,0,1,1
Namar Dist.,0,1,1
Al Shifa Dist.,0,1,1
Al Muhammadiyah Dist.,1,1,1
Al Sulaimaniyah Dist.,1,1,1
Al Marwah Dist.,1,1,1
Okaz Dist.,0,1,1
Shubra Dist.,0,1,1
Al Zahrah Dist.,1,1,1
Siyah Dist.,0,1,1
Sultanah Dist.,0,1,1
Al Yamamah Dist.,0,1,1
Al Badiah Dist.,0,1,1
Al Masani Dist.,0,1,1
Al Qadisiyah Dist.,1,1,1
Al Safa Dist.,1,1,1
Al Olaya Dist.,0,1,1
Al Duraihemiyah Dist.,1,1,1
Al Iskan Dist.,0,1,1
Al Salam Dist.,1,1,1
Al Manar Dist.,1,1,1
East Naseem Dist.,1,1,1
Al Quds Dist.,0,1,1
Al Wadi Dist.,0,1,1
Al Nafel Dist.,1,1,1
Al Maseef Dist.,1,1,1
Al Taawun Dist.,1,1,1
Al Ezdihar Dist.,1,1,1
Al Andalus Dist.,0,1,1
Al Rawdah Dist.,0,1,1
Al Rawabi Dist.,0,1,1
Al Rayan Dist.,1,1,1
Dhahrat Al Badeah Dist.,1,1,1
Al Nadheem Dist.,1,1,1
Al Rimayah Dist.,1,1,1
Al Bariyah Dist.,0,1,1
Taybah Dist.,0,1,1
Mansuriyah Dist.,0,1,1
Dahiyat Namar Dist.,0,0,1
Al Misfat Dist.,0,1,1
Assafarat Dist.,0,1,1
Khashm Al An,0,1,1
Qurtubah Dist.,0,1,1
Tuwaiq Dist.,1,1,1
Al Awaly Dist.,0,1,1
Ar Rabie Dist.,0,1,1
Al Mughrazat Dist.,0,1,1
Al Sulay Dist.,1,1,1
Al Aqeeq Dist.,1,1,1
Al Nakheel Dist.,0,1,1
Al Ghadeer Dist.,0,1,1
Al Muruj Dist.,1,1,1
Al Oud Dist.,0,1,1
Thulaim Dist.,0,1,1
Al Shumaisi Dist.,0,1,1
Al Wisham Dist.,1,1,1
Salam Park,0,1,1
Al Dubiyah Dist.,0,1,1
Meakal Dist.,0,1,1
Jabrah Dist.,0,1,1
Al Qura Dist.,0,1,1
Al Marqab Dist.,0,1,1
Al Futah Dist.,0,1,1
Umm Saleem Dist.,0,1,1
Al Sahafah Dist.,1,1,1
Al Raed Dist.,1,1,1
West Oraija Dist.,1,1,1
Al Uraija Dist.,1,1,1
Middle Oraija Dist.,1,1,1
Al Hamra Dist.,1,1,1
Al Dar Al Baida Dist.,1,1,1
Al Butaiha Dist.,0,1,1
Al Zahra Dist.,0,1,1
Al Fayha Dist.,1,1,1
Al Mutamarat Dist.,1,1,1
Al Wusayta Dist.,0,1,1
Al Janadriyah Dist.,1,1,1
Ishbiliyah Dist.,0,1,1
Al Maizalah Dist.,0,1,1
Al Yarmuk Dist.,0,1,1
Al Munisiyah Dist.,1,1,1
Al Khuzama Dist.,0,0,1
Irqah,0,1,1
Dhahrat Laban Dist.,1,1,1
Hiteen Dist.,1,1,1
Al Malqa Dist.,1,1,1
Al Qairawan Dist.,1,1,1
Al Yasmeen Dist.,0,1,1
Al Arid Dist.,0,1,1
King Khalid Int. Airport,1,1,1
Al Narjis Dist.,0,1,1
Imam University,1,1,1
Banban Dist.,0,0,1
Al Rimal Dist.,0,1,1
Ghirnatah Dist.,0,1,1
Al Dahou Dist.,0,1,1
Al Ammajiyah Dist.,0,0,1
Hyt Dist.,0,1,1
Al Haer Dist.,0,1,1
Umm Al Shaal Dist.,0,0,1
Al Ghannamiyah Dist.,0,1,1
Oraid Dist.,0,1,1
Badr Dist.,0,1,1
Al Mahdiyah Dist.,0,1,1
King Saud University,1,1,1
West Naseem Dist.,0,1,1
Al Mishael Dist.,0,1,1
Al Nadwah Dist.,0,1,1
Al Rabiyah Dist.,0,1,1
Wady Laban Dist.,0,1,1
Al Sidrah Dist.,0,0,1
Al Tadamun Dist.,0,0,1
King Abdullah City (Energy),0,1,1
Al Basatin Dist.,0,1,1
Al Rehab Dist.,0,1,1
Al Majd Dist.,1,1,1
Al Danah Dist.,0,0,1
Al Risalah Dist.,0,0,1
Al Khair Dist.,0,1,1
Al Fursan Dist.,0,1,1
Al Sholah Dist.,0,0,1
Al Rayah Dist.,0,1,1
Al Zahour Dist.,0,0,1
Al Zaher Dist.,0,0,1
Al Marjan Dist.,0,0,1
Al Bayan Dist.,0,1,1
Al Ula Dist.,0,1,1
Al Mashriq Dist.,0,1,1
Al Nakhbah Dist.,0,1,1
Al Sahab Dist.,0,1,1
Al Wasam Dist.,0,0,1
