Station name,Metro line name,Station type,Geographical coordinates,geo_point_2d
Dr Sulaiman Al Habib,Blue line,Elevated,"{""coordinates"": [46.62654386725997, 24.81155379383345], ""type"": ""Point""}","24.81155379383345, 46.62654386725997"
KAFD,Blue line,Elevated,"{""coordinates"": [46.64364447641301, 24.76800392512061], ""type"": ""Point""}","24.76800392512061, 46.64364447641301"
Al Murooj,Blue line,Deep Underground,"{""coordinates"": [46.65422135694412, 24.75474607607529], ""type"": ""Point""}","24.75474607607529, 46.65422135694412"
King Fahad District,Blue line,Deep Underground,"{""coordinates"": [46.65932671648558, 24.74491442205136], ""type"": ""Point""}","24.74491442205136, 46.65932671648558"
Al Wurud 2,Blue line,Deep Underground,"{""coordinates"": [46.67112888545265, 24.72172740595173], ""type"": ""Point""}","24.72172740595173, 46.67112888545265"
Al Urubah,Blue line,Deep Underground,"{""coordinates"": [46.67536633589778, 24.71321629407025], ""type"": ""Point""}","24.71321629407025, 46.67536633589778"
King Fahad Library,Blue line,Deep Underground,"{""coordinates"": [46.6873653489969, 24.68969024261919], ""type"": ""Point""}","24.68969024261919, 46.6873653489969"
Ministry of Interior,Blue line,Deep Underground,"{""coordinates"": [46.6950479643063, 24.67424257882058], ""type"": ""Point""}","24.67424257882058, 46.6950479643063"
Passport Department,Blue line,Deep Underground,"{""coordinates"": [46.70439494253413, 24.65956045632056], ""type"": ""Point""}","24.65956045632056, 46.70439494253413"
Skirinah,Blue line,Elevated,"{""coordinates"": [46.72540678332071, 24.61755176745255], ""type"": ""Point""}","24.61755176745255, 46.72540678332071"
Al Iman Hospital,Blue line,Elevated,"{""coordinates"": [46.7352437098454, 24.60100804986984], ""type"": ""Point""}","24.60100804986984, 46.7352437098454"
Al Aziziah,Blue line,Elevated,"{""coordinates"": [46.76119639347265, 24.58613720640573], ""type"": ""Point""}","24.58613720640573, 46.76119639347265"
Ad Dar Al Baida,Blue line,Elevated,"{""coordinates"": [46.77654712393894, 24.55958910448547], ""type"": ""Point""}","24.55958910448547, 46.77654712393894"
King Salman Oasis,Red line,Elevated,"{""coordinates"": [46.63877718460973, 24.71662928533406], ""type"": ""Point""}","24.71662928533406, 46.63877718460973"
stc,Red line,Deep Underground,"{""coordinates"": [46.66654513995131, 24.72655843698455], ""type"": ""Point""}","24.72655843698455, 46.66654513995131"
Al Wurud,Red line,Deep Underground,"{""coordinates"": [46.67749338636222, 24.73304010012863], ""type"": ""Point""}","24.73304010012863, 46.67749338636222"
Khalid Bin Alwaleed Road,Red line,Shallow Underground,"{""coordinates"": [46.75897415966957, 24.76705804271704], ""type"": ""Point""}","24.76705804271704, 46.75897415966957"
King Fahad Sport City,Red line,At Grade,"{""coordinates"": [46.83699440610236, 24.79243565532622], ""type"": ""Point""}","24.79243565532622, 46.83699440610236"
Aishah bint Abi Bakr Street,Orange line,Elevated,"{""coordinates"": [46.64374907224175, 24.60052873723215], ""type"": ""Point""}","24.60052873723215, 46.64374907224175"
Dhahrat Al Badiah,Orange line,Elevated,"{""coordinates"": [46.65497375326466, 24.6073754409049], ""type"": ""Point""}","24.6073754409049, 46.65497375326466"
Sultanah,Orange line,Elevated,"{""coordinates"": [46.6861039999333, 24.61481195473457], ""type"": ""Point""}","24.61481195473457, 46.6861039999333"
Al Jarradiyah,Orange line,Elevated,"{""coordinates"": [46.69821822387604, 24.61845741064425], ""type"": ""Point""}","24.61845741064425, 46.69821822387604"
Al Malaz,Orange line,Deep Underground,"{""coordinates"": [46.74505406619882, 24.66109427633321], ""type"": ""Point""}","24.66109427633321, 46.74505406619882"
Al Rajhi Grand Mosque,Orange line,Elevated,"{""coordinates"": [46.77849737862974, 24.67971156503735], ""type"": ""Point""}","24.67971156503735, 46.77849737862974"
Harun Ar Rashid Road,Orange line,Shallow Underground,"{""coordinates"": [46.79601710504106, 24.68608501392891], ""type"": ""Point""}","24.68608501392891, 46.79601710504106"
KAFD,Yellow line,Elevated,"{""coordinates"": [46.64360617754577, 24.7681786337211], ""type"": ""Point""}","24.7681786337211, 46.64360617754577"
National Museum,Green line,Deep Underground,"{""coordinates"": [46.71427983670233, 24.64607279558212], ""type"": ""Point""}","24.64607279558212, 46.71427983670233"
GOSI,Green line,Deep Underground,"{""coordinates"": [46.71819918138066, 24.686692275556], ""type"": ""Point""}","24.686692275556, 46.71819918138066"
Officers Club,Green line,Deep Underground,"{""coordinates"": [46.71802902980748, 24.69752283785252], ""type"": ""Point""}","24.69752283785252, 46.71802902980748"
KAFD,Purple line,Elevated,"{""coordinates"": [46.64360617754577, 24.7681786337211], ""type"": ""Point""}","24.7681786337211, 46.64360617754577"
Ar Rabi,Purple line,Elevated,"{""coordinates"": [46.66057921262878, 24.78629157966825], ""type"": ""Point""}","24.78629157966825, 46.66057921262878"
Uthman Bin Affan Road,Purple line,Elevated,"{""coordinates"": [46.69634901482668, 24.80050291216557], ""type"": ""Point""}","24.80050291216557, 46.69634901482668"
SABIC,Purple line,Shallow Underground,"{""coordinates"": [46.70959638581176, 24.80735674485716], ""type"": ""Point""}","24.80735674485716, 46.70959638581176"
Al Yarmuk,Purple line,Elevated,"{""coordinates"": [46.76642231187255, 24.79102722793817], ""type"": ""Point""}","24.79102722793817, 46.76642231187255"
Khurais Road,Purple line,Elevated,"{""coordinates"": [46.80009645445539, 24.73808432123275], ""type"": ""Point""}","24.73808432123275, 46.80009645445539"
As Salam,Purple line,Elevated,"{""coordinates"": [46.8114455888186, 24.72219711748086], ""type"": ""Point""}","24.72219711748086, 46.8114455888186"
stc,Blue line,Deep Underground,"{""coordinates"": [46.66687987819414, 24.72679705304654], ""type"": ""Point""}","24.72679705304654, 46.66687987819414"
Alinma Bank,Blue line,Deep Underground,"{""coordinates"": [46.68032471057251, 24.70316648220116], ""type"": ""Point""}","24.70316648220116, 46.68032471057251"
Al Muorabba,Blue line,Deep Underground,"{""coordinates"": [46.70244592563306, 24.66485076093648], ""type"": ""Point""}","24.66485076093648, 46.70244592563306"
Al Bat'ha,Blue line,Deep Underground,"{""coordinates"": [46.71523382845812, 24.63793144884599], ""type"": ""Point""}","24.63793144884599, 46.71523382845812"
Al Owd,Blue line,Deep Underground,"{""coordinates"": [46.72101788739987, 24.62531899374494], ""type"": ""Point""}","24.62531899374494, 46.72101788739987"
Transportation Center,Blue line,Elevated,"{""coordinates"": [46.74514116213327, 24.59798690948253], ""type"": ""Point""}","24.59798690948253, 46.74514116213327"
King Saud University,Red line,Elevated,"{""coordinates"": [46.62871099499831, 24.70967823253188], ""type"": ""Point""}","24.70967823253188, 46.62871099499831"
KACST,Red line,Shallow Underground,"{""coordinates"": [46.64693246597055, 24.72017061216426], ""type"": ""Point""}","24.72017061216426, 46.64693246597055"
At Takhassussi,Red line,Shallow Underground,"{""coordinates"": [46.65464898678899, 24.72340744244227], ""type"": ""Point""}","24.72340744244227, 46.65464898678899"
An Nuzhah,Red line,At Grade,"{""coordinates"": [46.71311355644504, 24.74782156645681], ""type"": ""Point""}","24.74782156645681, 46.71311355644504"
Al Hamra,Red line,Elevated,"{""coordinates"": [46.77675786070972, 24.77642102227688], ""type"": ""Point""}","24.77642102227688, 46.77675786070972"
Ishbiliyah,Red line,At Grade,"{""coordinates"": [46.81106855810685, 24.79216004055396], ""type"": ""Point""}","24.79216004055396, 46.81106855810685"
Jeddah Road,Orange line,Elevated,"{""coordinates"": [46.54339421952785, 24.59121360322294], ""type"": ""Point""}","24.59121360322294, 46.54339421952785"
Tuwaiq,Orange line,Elevated,"{""coordinates"": [46.56190383360955, 24.58532648766099], ""type"": ""Point""}","24.58532648766099, 46.56190383360955"
Ad Douh,Orange line,Elevated,"{""coordinates"": [46.58806971836369, 24.58293167966869], ""type"": ""Point""}","24.58293167966869, 46.58806971836369"
Al Hilla,Orange line,Deep Underground,"{""coordinates"": [46.72092052341459, 24.63174974583536], ""type"": ""Point""}","24.63174974583536, 46.72092052341459"
Railway,Orange line,Deep Underground,"{""coordinates"": [46.74124333488783, 24.64923336622137], ""type"": ""Point""}","24.64923336622137, 46.74124333488783"
Jarir District,Orange line,Elevated,"{""coordinates"": [46.76052059417431, 24.67297035932004], ""type"": ""Point""}","24.67297035932004, 46.76052059417431"
Hassan Bin Thabit street,Orange line,Shallow Underground,"{""coordinates"": [46.84810909256966, 24.71315305285557], ""type"": ""Point""}","24.71315305285557, 46.84810909256966"
Ar Rabi,Yellow line,Elevated,"{""coordinates"": [46.66057921262878, 24.78629157966825], ""type"": ""Point""}","24.78629157966825, 46.66057921262878"
SABIC,Yellow line,Shallow Underground,"{""coordinates"": [46.7097506102494, 24.80723540035193], ""type"": ""Point""}","24.80723540035193, 46.7097506102494"
PNU2,Yellow line,Elevated,"{""coordinates"": [46.70431707873432, 24.85983420999368], ""type"": ""Point""}","24.85983420999368, 46.70431707873432"
Airport T5,Yellow line,Elevated,"{""coordinates"": [46.70826370485601, 24.94295453599951], ""type"": ""Point""}","24.94295453599951, 46.70826370485601"
Airport T3-4,Yellow line,Elevated,"{""coordinates"": [46.70322082727486, 24.95629864361232], ""type"": ""Point""}","24.95629864361232, 46.70322082727486"
Ministry of Finance,Green line,Deep Underground,"{""coordinates"": [46.71573060418663, 24.65127908328224], ""type"": ""Point""}","24.65127908328224, 46.71573060418663"
King Abdulaziz Hospital,Green line,Deep Underground,"{""coordinates"": [46.71727365226771, 24.65904589369298], ""type"": ""Point""}","24.65904589369298, 46.71727365226771"
Ministry of Defense,Green line,Deep Underground,"{""coordinates"": [46.71825678997175, 24.66712507970303], ""type"": ""Point""}","24.66712507970303, 46.71825678997175"
Al Wizarat,Green line,Deep Underground,"{""coordinates"": [46.71835817336265, 24.67721661325981], ""type"": ""Point""}","24.67721661325981, 46.71835817336265"
Abu Dhabi square,Green line,Deep Underground,"{""coordinates"": [46.71634234922706, 24.70611607029804], ""type"": ""Point""}","24.70611607029804, 46.71634234922706"
Ad Dhabab,Green line,Deep Underground,"{""coordinates"": [46.70835711021662, 24.70915859869369], ""type"": ""Point""}","24.70915859869369, 46.70835711021662"
As Sulimaniyah,Green line,Deep Underground,"{""coordinates"": [46.69954390840239, 24.7130431910079], ""type"": ""Point""}","24.7130431910079, 46.69954390840239"
Ministry of Education,Green line,Deep Underground,"{""coordinates"": [46.69359791097942, 24.73977015479611], ""type"": ""Point""}","24.73977015479611, 46.69359791097942"
Al Hamra,Purple line,Elevated,"{""coordinates"": [46.77657649147416, 24.77632719132187], ""type"": ""Point""}","24.77632719132187, 46.77657649147416"
SAB,Blue line,Elevated,"{""coordinates"": [46.61843964843821, 24.82943980747947], ""type"": ""Point""}","24.82943980747947, 46.61843964843821"
King Fahad District 2,Blue line,Deep Underground,"{""coordinates"": [46.66338701990518, 24.73665171554253], ""type"": ""Point""}","24.73665171554253, 46.66338701990518"
Bank Albilad,Blue line,Deep Underground,"{""coordinates"": [46.68392634195393, 24.69650761170015], ""type"": ""Point""}","24.69650761170015, 46.68392634195393"
National Museum,Blue line,Deep Underground,"{""coordinates"": [46.71416493164232, 24.64606261233078], ""type"": ""Point""}","24.64606261233078, 46.71416493164232"
Qasr Al Hokm,Blue line,Deep Underground,"{""coordinates"": [46.71611888836972, 24.62858166288806], ""type"": ""Point""}","24.62858166288806, 46.71611888836972"
Manfouhah,Blue line,Elevated,"{""coordinates"": [46.72751741880297, 24.61045736735081], ""type"": ""Point""}","24.61045736735081, 46.72751741880297"
King Abdulaziz Road,Red line,Shallow Underground,"{""coordinates"": [46.68521931745428, 24.73623884393125], ""type"": ""Point""}","24.73623884393125, 46.68521931745428"
Ministry of Education,Red line,At Grade,"{""coordinates"": [46.69346684713819, 24.7399774582299], ""type"": ""Point""}","24.7399774582299, 46.69346684713819"
Riyadh Exhibition Center,Red line,Elevated,"{""coordinates"": [46.72721163892653, 24.75378482455737], ""type"": ""Point""}","24.75378482455737, 46.72721163892653"
Al Khaleej,Red line,Shallow Underground,"{""coordinates"": [46.79447110643801, 24.78145044800828], ""type"": ""Point""}","24.78145044800828, 46.79447110643801"
Western Station,Orange line,Elevated,"{""coordinates"": [46.61438544942218, 24.58248496741372], ""type"": ""Point""}","24.58248496741372, 46.61438544942218"
Courts Complex,Orange line,Deep Underground,"{""coordinates"": [46.71242068810995, 24.62696585808965], ""type"": ""Point""}","24.62696585808965, 46.71242068810995"
Qasr Al Hokm,Orange line,Deep Underground,"{""coordinates"": [46.71605976865056, 24.62852568362789], ""type"": ""Point""}","24.62852568362789, 46.71605976865056"
Al Margab,Orange line,Deep Underground,"{""coordinates"": [46.72544371164624, 24.63402768715887], ""type"": ""Point""}","24.63402768715887, 46.72544371164624"
As Salhiyah,Orange line,Deep Underground,"{""coordinates"": [46.73192914145916, 24.63722864945175], ""type"": ""Point""}","24.63722864945175, 46.73192914145916"
First Industrial City,Orange line,Deep Underground,"{""coordinates"": [46.73949283534146, 24.64518207915902], ""type"": ""Point""}","24.64518207915902, 46.73949283534146"
An Naseem,Orange line,Shallow Underground,"{""coordinates"": [46.82781400965195, 24.70026793259499], ""type"": ""Point""}","24.70026793259499, 46.82781400965195"
Khashm Al An,Orange line,Shallow Underground,"{""coordinates"": [46.86032645729338, 24.72156579731185], ""type"": ""Point""}","24.72156579731185, 46.86032645729338"
Uthman Bin Affan Road,Yellow line,Elevated,"{""coordinates"": [46.69634901482668, 24.80050291216557], ""type"": ""Point""}","24.80050291216557, 46.69634901482668"
PNU1,Yellow line,Elevated,"{""coordinates"": [46.71668238777214, 24.84039655903143], ""type"": ""Point""}","24.84039655903143, 46.71668238777214"
Airport T1-2,Yellow line,Elevated,"{""coordinates"": [46.70002847728534, 24.96281541599763], ""type"": ""Point""}","24.96281541599763, 46.70002847728534"
King Salman Park,Green line,Deep Underground,"{""coordinates"": [46.7010605218833, 24.72833810456862], ""type"": ""Point""}","24.72833810456862, 46.7010605218833"
Granadia,Purple line,Elevated,"{""coordinates"": [46.72933303753641, 24.78648327857564], ""type"": ""Point""}","24.78648327857564, 46.72933303753641"
Al Andalus,Purple line,Elevated,"{""coordinates"": [46.79050988521736, 24.75674689952316], ""type"": ""Point""}","24.75674689952316, 46.79050988521736"
An Naseem,Purple line,Shallow Underground,"{""coordinates"": [46.82796281476497, 24.70048083828638], ""type"": ""Point""}","24.70048083828638, 46.82796281476497"
