Index,Station code,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Sequence of the stops,Comments,التعليقات,Geographical coordinates,geo_point_2d
40,S02,Dr Sulaiman Al Habib,د.سليمان الحبيب,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,2,,,"{""coordinates"": [46.62654386725997, 24.81155379383345], ""type"": ""Point""}","24.81155379383345, 46.62654386725997"
49,S03,KAFD,المركز المالي,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,3,,,"{""coordinates"": [46.64364447641301, 24.76800392512061], ""type"": ""Point""}","24.76800392512061, 46.64364447641301"
18,S04,Al Murooj,المروج,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,4,,,"{""coordinates"": [46.65422135694412, 24.75474607607529], ""type"": ""Point""}","24.75474607607529, 46.65422135694412"
56,S05,King Fahad District,حي الملك فهد,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,5,,,"{""coordinates"": [46.65932671648558, 24.74491442205136], ""type"": ""Point""}","24.74491442205136, 46.65932671648558"
24,S08,Al Wurud 2,الورود 2,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,8,,,"{""coordinates"": [46.67112888545265, 24.72172740595173], ""type"": ""Point""}","24.72172740595173, 46.67112888545265"
21,S09,Al Urubah,العروبة,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,9,,,"{""coordinates"": [46.67536633589778, 24.71321629407025], ""type"": ""Point""}","24.71321629407025, 46.67536633589778"
58,S12,King Fahad Library,مكتبة الملك فهد,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,12,,,"{""coordinates"": [46.6873653489969, 24.68969024261919], ""type"": ""Point""}","24.68969024261919, 46.6873653489969"
65,S13,Ministry of Interior,وزارة الداخلية,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,13,,,"{""coordinates"": [46.6950479643063, 24.67424257882058], ""type"": ""Point""}","24.67424257882058, 46.6950479643063"
72,S15,Passport Department,الجوازات,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,15,,,"{""coordinates"": [46.70439494253413, 24.65956045632056], ""type"": ""Point""}","24.65956045632056, 46.70439494253413"
85,S20,Skirinah,سكيرينة,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,20,,,"{""coordinates"": [46.72540678332071, 24.61755176745255], ""type"": ""Point""}","24.61755176745255, 46.72540678332071"
